brand,window_size,n_hidden,units1,r2_score,rmse
XOM,10,200,150,0.5700,0.0822
XOM,20,200,150,0.6336,0.0758
XOM,30,200,150,0.4561,0.0924
XOM,40,200,150,-0.2071,0.1376
XOM,50,200,150,0.6973,0.0689
XOM,60,200,150,-0.4955,0.1532
XOM,70,200,150,-2.3384,0.2289
XOM,80,200,150,-0.4496,0.1508
XOM,90,200,150,-3.3159,0.2603
XOM,100,200,150,-1.2354,0.1873
XOM,110,200,150,-6.6166,0.3458
XOM,120,200,150,-8.1367,0.3787
XOM,130,200,150,-14.4667,0.4927
