brand,window_size,n_hidden,units1,r2_score,rmse
BA,10,200,150,0.5382,0.0909
BA,20,200,150,0.1453,0.1236
BA,30,200,150,0.6415,0.0801
BA,40,200,150,0.5932,0.0853
BA,50,200,150,0.3859,0.1048
BA,60,200,150,0.4257,0.1013
BA,70,200,150,0.2919,0.1125
BA,80,200,150,0.0890,0.1276
BA,90,200,150,-0.2524,0.1496
BA,100,200,150,-0.5000,0.1638
BA,110,200,150,-0.2667,0.1505
BA,120,200,150,-0.4792,0.1626
BA,130,200,150,-0.2088,0.1470
