brand,window_size,n_hidden,units1,r2_score,rmse
CAT,10,200,150,0.2233,0.0844
CAT,20,200,150,0.4190,0.0730
CAT,30,200,150,0.3285,0.0785
CAT,40,200,150,0.3196,0.0790
CAT,50,200,150,0.4272,0.0725
CAT,60,200,150,0.2899,0.0807
CAT,70,200,150,0.0812,0.0918
CAT,80,200,150,0.3087,0.0797
CAT,90,200,150,-0.1040,0.1007
CAT,100,200,150,0.0717,0.0923
CAT,110,200,150,0.1120,0.0903
CAT,120,200,150,-0.0163,0.0966
CAT,130,200,150,-0.2336,0.1064
