brand,window_size,n_hidden,units1,r2_score,rmse
NOC,10,200,150,0.5093,0.1052
NOC,20,200,150,0.2812,0.1273
NOC,30,200,150,0.2263,0.1321
NOC,40,200,150,0.2305,0.1317
NOC,50,200,150,0.2614,0.1291
NOC,60,200,150,0.4663,0.1097
NOC,70,200,150,0.3856,0.1177
NOC,80,200,150,0.0516,0.1463
NOC,90,200,150,0.3341,0.1226
NOC,100,200,150,0.3469,0.1214
NOC,110,200,150,-0.2001,0.1645
NOC,120,200,150,-0.0973,0.1573
NOC,130,200,150,-0.0770,0.1559
