brand,window_size,n_hidden,units1,r2_score,rmse
NVDA,10,200,150,0.7618,0.0931
NVDA,20,200,150,0.4026,0.1474
NVDA,30,200,150,0.7803,0.0894
NVDA,40,200,150,0.8406,0.0761
NVDA,50,200,150,0.8731,0.0680
NVDA,60,200,150,0.8282,0.0791
NVDA,70,200,150,0.7150,0.1018
NVDA,80,200,150,0.7820,0.0891
NVDA,90,200,150,0.5677,0.1254
NVDA,100,200,150,-0.5770,0.2395
NVDA,110,200,150,-0.7955,0.2556
NVDA,120,200,150,-1.3905,0.2949
NVDA,130,200,150,-1.0882,0.2756
