brand,window_size,n_hidden,units1,r2_score,rmse
GM,10,200,150,0.6616,0.0945
GM,20,200,150,0.4819,0.1169
GM,30,200,150,0.5711,0.1064
GM,40,200,150,0.3322,0.1328
GM,50,200,150,0.6984,0.0892
GM,60,200,150,0.4685,0.1184
GM,70,200,150,-0.3792,0.1908
GM,80,200,150,-2.0322,0.2829
GM,90,200,150,-1.4337,0.2534
GM,100,200,150,0.3053,0.1354
GM,110,200,150,-1.2354,0.2429
GM,120,200,150,-6.9356,0.4577
GM,130,200,150,-4.9079,0.3949
