brand,window_size,n_hidden,units1,term,r2_score,rmse
BA,10,200,150,25,0.9106,0.0364
BA,20,200,150,25,0.8992,0.0386
BA,30,200,150,25,0.7768,0.0575
BA,40,200,150,25,0.7847,0.0565
BA,50,200,150,25,0.8823,0.0417
BA,60,200,150,25,0.7623,0.0593
BA,70,200,150,25,0.9012,0.0382
BA,80,200,150,25,0.8876,0.0408
BA,90,200,150,25,0.5605,0.0807
BA,100,200,150,25,0.8938,0.0396
BA,110,200,150,25,0.8419,0.0484
BA,120,200,150,25,0.5334,0.0831
BA,130,200,150,25,0.7132,0.0652
